230	0xE6	µ	00B5
231	0xE7	τ	03C4
232	0xE8	Φ	03A6
233	0xE9	Θ	0398
234	0xEA	Ω	03A9
235	0xEB	δ	03B4
236	0xEC	∞	221E
237	0xED	φ	03C6
238	0xEE	ε	03B5
239	0xEF	∩	2229
240	0xF0	≡	2261
241	0xF1	±	00B1
242	0xF2	≥	2265
243	0xF3	≤	2264
244	0xF4	⌠	2320
245	0xF5	⌡	2321
246	0xF6	÷	00F7
247	0xF7	≈	2248
248	0xF8	°	00B0
249	0xF9	∙	2219
250	0xFA	·	00B7
251	0xFB	√	221A
252	0xFC	ⁿ	207F
253	0xFD	²	00B2
254	0xFE	■	25A0
255	0xFF	 	00A0
